skill_name,namespace,tier,lines,subdirs,moat_status,m1_evals,m1b_count,m2_fp,m2b_edge,m3_refs,m4_template,m4b_legacy,m5_evidence,structural_pass,gaps
0001-input-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0002-asis-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0003-flow-mapping,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0004-stakeholder-mapping,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0005-competitive-intelligence,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0006-scenario-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0007-risk-assessment,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0008-cost-estimation,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0009-technical-feasibility,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0010-dependency-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0011-assumption-log,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0012-user-story-writer,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0013-product-strategy,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0014-functional-spec,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0015-discovery-orchestrator,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0016-analytics-events,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0017-asis-analysis,javier-montano,near-moat,250,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0018-b2b-outreach,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0019-benchmark-skill,javier-montano,partial,215,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0020-benchmarking-analysis,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0021-budget-management,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0022-business-process-modeling,javier-montano,near-moat,91,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0023-capacity-planning,javier-montano,near-moat,146,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0024-case-study-writing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0025-change-management-enterprise,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0026-change-readiness,javier-montano,near-moat,96,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0027-client-browser-audit,javier-montano,near-moat,148,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0028-client-dossier,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0029-client-prospecting,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0030-cohort-analysis,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0031-commercial-model,javier-montano,near-moat,252,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0032-competitive-positioning,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0033-constitution-compliance,javier-montano,partial,73,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0034-contract-review,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0035-conversion-optimization,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0036-cost-estimation,javier-montano,near-moat,269,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0037-cv-enhancement,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0038-cv-transformer,javier-montano,partial,291,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0039-data-visualization,javier-montano,near-moat,102,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0040-dependency-analysis,javier-montano,near-moat,191,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0041-dependency-management,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0042-discovery-handover,javier-montano,near-moat,338,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0043-discovery-orchestration,javier-montano,near-moat,102,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0044-discovery-orchestrator,javier-montano,near-moat,283,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0045-discovery-retrospective,javier-montano,near-moat,144,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0046-dynamic-sme,javier-montano,near-moat,198,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0047-executive-pitch,javier-montano,near-moat,194,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0048-feasibility-validation,javier-montano,near-moat,95,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0049-finops,javier-montano,partial,408,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0050-flow-mapping,javier-montano,near-moat,255,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0051-functional-spec,javier-montano,near-moat,181,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0052-functional-toolbelt,javier-montano,near-moat,277,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0053-funnel-analytics,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0054-governance-framework,javier-montano,near-moat,134,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0055-incident-response,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0056-input-analysis,javier-montano,near-moat,138,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0057-input-analyst,javier-montano,partial,187,3,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0058-input-sanitization,javier-montano,near-moat,126,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0059-input-tolerance,javier-montano,partial,73,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0060-integrity-chain-validation,javier-montano,near-moat,118,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0061-kpi-framework,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0062-lead-generation,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0063-market-intelligence,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0064-maturity-assessment,javier-montano,near-moat,196,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
