skill_name,recommended_source,recommended_owner,canonical_path,lines,completeness,evidence_tags,has_procedure,last_modified,reason,other_locations
analytics-engineering,mdf,metodologia,skills/metodologia/analytics-engineering,472,4,0,,,"Highest composite score (221): 472 lines, 4/5 completeness","sa(63 lines);atomic(346 lines)"
api-architecture,mdf,metodologia,skills/metodologia/api-architecture,378,4,0,,,"Highest composite score (193): 378 lines, 4/5 completeness","sa(63 lines);atomic(305 lines)"
architecture-tobe,mdf,metodologia,skills/metodologia/architecture-tobe,466,4,0,,,"Highest composite score (219): 466 lines, 4/5 completeness","atomic(335 lines)"
asis-analysis,mdf,metodologia,skills/metodologia/asis-analysis,478,4,1,false,2026-03-19,"Highest composite score (228): 478 lines, 4/5 completeness, 1 evidence tags","atomic(242 lines)"
bi-architecture,mdf,metodologia,skills/metodologia/bi-architecture,385,4,0,,,"Highest composite score (195): 385 lines, 4/5 completeness","sa(63 lines);atomic(317 lines)"
brand-docx,atomic,javier-montano,skills/javier-montano/brand-docx,281,1,0,,,"Highest composite score (104): 281 lines, 1/5 completeness","mdf(179 lines)"
brand-xlsx,atomic,javier-montano,skills/javier-montano/brand-xlsx,271,1,0,,,"Highest composite score (101): 271 lines, 1/5 completeness","mdf(173 lines)"
capacity-planning,pm,javier-montano,skills/javier-montano/capacity-planning,146,5,5,false,2026-03-18,"Highest composite score (168): 146 lines, 5/5 completeness, 5 evidence tags","mdf(170 lines)"
client-browser-audit,pm,javier-montano,skills/javier-montano/client-browser-audit,148,5,4,false,2026-03-18,"Highest composite score (164): 148 lines, 5/5 completeness, 4 evidence tags","mdf(124 lines)"
cloud-migration,mdf,metodologia,skills/metodologia/cloud-migration,519,4,0,,,"Highest composite score (230): 519 lines, 4/5 completeness","sa(63 lines);atomic(386 lines)"
cloud-native-architecture,mdf,metodologia,skills/metodologia/cloud-native-architecture,485,4,0,,,"Highest composite score (225): 485 lines, 4/5 completeness","sa(63 lines);atomic(353 lines)"
commercial-model,mdf,metodologia,skills/metodologia/commercial-model,364,4,0,,,"Highest composite score (189): 364 lines, 4/5 completeness","sa(66 lines);atomic(244 lines)"
compliance-assessment,sa,javier-montano,skills/javier-montano/compliance-assessment,58,5,1,true,2026-03-18,"Highest composite score (137): 58 lines, 5/5 completeness, 1 evidence tags, has Procedure section","mdf(170 lines)"
context-optimization,pm,javier-montano,skills/javier-montano/context-optimization,139,5,4,false,2026-03-18,"Highest composite score (161): 139 lines, 5/5 completeness, 4 evidence tags","sa(63 lines);mdf(87 lines)"
copywriting,mdf,metodologia,skills/metodologia/copywriting,286,3,3,false,2026-03-19,"Highest composite score (160): 286 lines, 3/5 completeness, 3 evidence tags","sa(67 lines);pm(140 lines)"
cost-estimation,mdf,metodologia,skills/metodologia/cost-estimation,466,4,0,,,"Highest composite score (219): 466 lines, 4/5 completeness","sa(63 lines);pm(144 lines);atomic(261 lines)"
cross-platform-convert,pm,javier-montano,skills/javier-montano/cross-platform-convert,138,5,3,false,2026-03-18,"Highest composite score (156): 138 lines, 5/5 completeness, 3 evidence tags","mdf(102 lines)"
data-engineering,mdf,metodologia,skills/metodologia/data-engineering,468,4,0,,,"Highest composite score (220): 468 lines, 4/5 completeness","sa(63 lines);atomic(325 lines)"
data-governance,mdf,metodologia,skills/metodologia/data-governance,388,4,0,,,"Highest composite score (196): 388 lines, 4/5 completeness","sa(63 lines);atomic(312 lines)"
data-quality,mdf,metodologia,skills/metodologia/data-quality,386,4,0,,,"Highest composite score (195): 386 lines, 4/5 completeness","atomic(311 lines)"
data-science-architecture,mdf,metodologia,skills/metodologia/data-science-architecture,467,4,0,,,"Highest composite score (220): 467 lines, 4/5 completeness","atomic(325 lines)"
data-storytelling,mdf,metodologia,skills/metodologia/data-storytelling,335,3,4,false,2026-03-19,"Highest composite score (180): 335 lines, 3/5 completeness, 4 evidence tags","sa(67 lines);pm(140 lines)"
database-architecture,mdf,metodologia,skills/metodologia/database-architecture,419,4,0,,,"Highest composite score (205): 419 lines, 4/5 completeness","sa(63 lines);atomic(333 lines)"
dependency-analysis,sa,javier-montano,skills/javier-montano/dependency-analysis,58,5,1,true,2026-03-18,"Highest composite score (137): 58 lines, 5/5 completeness, 1 evidence tags, has Procedure section","mdf(183 lines)"
design-system,mdf,metodologia,skills/metodologia/design-system,410,4,0,,,"Highest composite score (203): 410 lines, 4/5 completeness","sa(67 lines);pm(139 lines);atomic(327 lines)"
devsecops-architecture,mdf,metodologia,skills/metodologia/devsecops-architecture,382,4,0,,,"Highest composite score (194): 382 lines, 4/5 completeness","sa(63 lines);atomic(311 lines)"
discovery-handover,mdf,metodologia,skills/metodologia/discovery-handover,416,4,0,,,"Highest composite score (204): 416 lines, 4/5 completeness","sa(67 lines);atomic(330 lines)"
discovery-orchestrator,atomic,javier-montano,skills/javier-montano/discovery-orchestrator,772,4,1,true,2026-03-19,"Highest composite score (250): 772 lines, 4/5 completeness, 1 evidence tags, has Procedure section","sa(67 lines);mdf(903 lines)"
discovery-retrospective,pm,javier-montano,skills/javier-montano/discovery-retrospective,144,5,6,false,2026-03-18,"Highest composite score (173): 144 lines, 5/5 completeness, 6 evidence tags","mdf(99 lines)"
dynamic-sme,mdf,metodologia,skills/metodologia/dynamic-sme,265,3,1,false,2026-03-19,"Highest composite score (144): 265 lines, 3/5 completeness, 1 evidence tags","sa(67 lines);atomic(190 lines)"
enterprise-architecture,mdf,metodologia,skills/metodologia/enterprise-architecture,408,4,0,,,"Highest composite score (202): 408 lines, 4/5 completeness","sa(63 lines);atomic(318 lines)"
event-architecture,mdf,metodologia,skills/metodologia/event-architecture,427,4,0,,,"Highest composite score (208): 427 lines, 4/5 completeness","sa(63 lines);atomic(336 lines)"
excellence-loop,sa,javier-montano,skills/javier-montano/excellence-loop,63,5,0,,,"Highest composite score (118): 63 lines, 5/5 completeness","atomic(178 lines)"
executive-pitch,mdf,metodologia,skills/metodologia/executive-pitch,265,4,1,false,2026-03-19,"Highest composite score (164): 265 lines, 4/5 completeness, 1 evidence tags","sa(66 lines);atomic(186 lines)"
false,pm,javier-montano,skills/javier-montano/false,397,5,12,false,2026-03-18,"Highest composite score (279): 397 lines, 5/5 completeness, 12 evidence tags","0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(290 lines);0(2026-03-18 lines);sa(271 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);atomic(204 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0( lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);atomic(412 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);atomic(248 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(300 lines);mdf(468 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(478 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(179 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(170 lines);mdf(289 lines);0(2026-03-19 lines);mdf(124 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(193 lines);mdf(170 lines);0(2026-03-19 lines);mdf(286 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(335 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(328 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(170 lines);0(2026-03-19 lines);mdf(903 lines);0(2026-03-19 lines);mdf(185 lines);mdf(265 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(265 lines);mdf(349 lines);0(2026-03-19 lines);mdf(284 lines);0(2026-03-19 lines);mdf(185 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(170 lines);mdf(356 lines);0(2026-03-19 lines);mdf(170 lines);mdf(423 lines);mdf(188 lines);mdf(356 lines);mdf(280 lines);mdf(170 lines);mdf(373 lines);mdf(431 lines);mdf(485 lines);0(2026-03-19 lines);mdf(313 lines);mdf(438 lines);mdf(300 lines);0(2026-03-19 lines);mdf(410 lines);mdf(477 lines);0(2026-03-19 lines);mdf(176 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(386 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(170 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(345 lines);mdf(192 lines);0(2026-03-19 lines);mdf(187 lines);mdf(367 lines);mdf(341 lines);mdf(277 lines);0(2026-03-19 lines);0(2026-03-19 lines);mdf(372 lines);0(2026-03-19 lines);mdf(170 lines);0(2026-03-19 lines);mdf(300 lines)"
flow-mapping,mdf,metodologia,skills/metodologia/flow-mapping,378,4,0,,,"Highest composite score (193): 378 lines, 4/5 completeness","sa(66 lines);atomic(247 lines)"
functional-spec,mdf,metodologia,skills/metodologia/functional-spec,284,4,2,false,2026-03-19,"Highest composite score (175): 284 lines, 4/5 completeness, 2 evidence tags","sa(66 lines);atomic(173 lines)"
functional-toolbelt,mdf,metodologia,skills/metodologia/functional-toolbelt,396,4,0,,,"Highest composite score (198): 396 lines, 4/5 completeness","atomic(269 lines)"
governance-framework,pm,javier-montano,skills/javier-montano/governance-framework,134,5,3,false,2026-03-18,"Highest composite score (155): 134 lines, 5/5 completeness, 3 evidence tags","mdf(185 lines)"
html-brand,mdf,metodologia,skills/metodologia/html-brand,387,4,0,,,"Highest composite score (196): 387 lines, 4/5 completeness","pm(136 lines);atomic(358 lines)"
infrastructure-architecture,mdf,metodologia,skills/metodologia/infrastructure-architecture,356,4,1,false,2026-03-19,"Highest composite score (191): 356 lines, 4/5 completeness, 1 evidence tags","sa(63 lines);atomic(283 lines)"
input-analysis,pm,javier-montano,skills/javier-montano/input-analysis,138,5,8,false,2026-03-18,"Highest composite score (181): 138 lines, 5/5 completeness, 8 evidence tags","sa(67 lines);mdf(310 lines)"
maturity-assessment,pm,javier-montano,skills/javier-montano/maturity-assessment,142,5,2,false,2026-03-18,"Highest composite score (152): 142 lines, 5/5 completeness, 2 evidence tags","sa(58 lines);mdf(188 lines)"
mermaid-diagramming,mdf,metodologia,skills/metodologia/mermaid-diagramming,280,4,2,false,2026-03-19,"Highest composite score (174): 280 lines, 4/5 completeness, 2 evidence tags","sa(69 lines);pm(131 lines);atomic(204 lines)"
mobile-architecture,mdf,metodologia,skills/metodologia/mobile-architecture,431,4,1,false,2026-03-19,"Highest composite score (214): 431 lines, 4/5 completeness, 1 evidence tags","atomic(346 lines)"
mobile-assessment,mdf,metodologia,skills/metodologia/mobile-assessment,485,4,1,false,2026-03-19,"Highest composite score (230): 485 lines, 4/5 completeness, 1 evidence tags","atomic(394 lines)"
observability,mdf,metodologia,skills/metodologia/observability,438,4,1,false,2026-03-19,"Highest composite score (216): 438 lines, 4/5 completeness, 1 evidence tags","atomic(355 lines)"
onboarding-playbook,pm,javier-montano,skills/javier-montano/onboarding-playbook,140,5,2,false,2026-03-18,"Highest composite score (152): 140 lines, 5/5 completeness, 2 evidence tags","mdf(300 lines)"
output-engineering,pm,javier-montano,skills/javier-montano/output-engineering,134,5,3,false,2026-03-18,"Highest composite score (155): 134 lines, 5/5 completeness, 3 evidence tags","sa(63 lines);mdf(264 lines)"
